group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_2,3,0.6401995860551678,0.12293310259944872,0.4033322747097841,0.6270069020887264,0.017669549779860797,0.1,none,20260709003,-1,-1,regression_l1,952,0.019202033945335612,64,10,80,0.6794689821963232,0.6133018418809287,0.03536440481916851,0.08881967479908066,0.01590357545587377
kpx_group_2,0,0.6396565365094012,0.12460254025023758,0.40391561326903996,0.6270727252679456,0.016940787597384474,0.03,metric_x2,20260709000,-1,-1,regression_l1,788,0.01799706657116039,16,6,60,0.8377921639961111,0.6642699285155658,0.0012928100106079992,0.06190774173246424,0.1363983916005024
kpx_group_2,17,0.6396385429559931,0.12375187673840453,0.40302896265039073,0.6250753837111767,0.018710935659963554,0.05,metric_x2,20260709017,-1,-1,regression_l1,1937,0.016018671944046024,32,5,80,0.6818759268641847,0.885989571491114,1.205522763168812,3.0321846009899596,0.0023029303794758886
kpx_group_2,4,0.639131863901658,0.12599179798804966,0.40425552579136564,0.6280969488563967,0.014514807708758983,0.03,actual_sqrt,20260709004,-1,-1,regression_l1,1757,0.048801070321044956,48,6,160,0.6150265891882314,0.8439563366659326,0.009139405195301561,0.12102899375487963,3.8714932820573906e-05
kpx_group_2,7,0.6390574896332085,0.12434440251809259,0.40245938178450974,0.626508868228048,0.016090489959906487,0.05,none,20260709007,-1,-1,regression_l1,1727,0.017863574235178266,32,10,120,0.8103311785968869,0.7917423671925454,0.002975666233733728,0.32328337973003257,0.00039770424806185407
kpx_group_2,5,0.63896780668457,0.12414801654194746,0.40208362991108765,0.6262272259638615,0.016095368110446786,0.05,none,20260709005,-1,-1,regression_l1,1356,0.014751745824577023,128,7,160,0.8618811668746462,0.712900470221985,0.020857195199100134,0.04197225237757551,0.03850090628519949
kpx_group_2,19,0.6381687602721802,0.12656446127364082,0.40290198181800124,0.6256738869419273,0.01750739030739799,0.15,none,20260709019,-1,-1,regression_l1,1414,0.04862522187895901,64,5,40,0.7397945190249349,0.6470540264800766,0.005952670531943694,0.22052997994777745,1.066637737983218e-05
kpx_group_2,16,0.6379924712866907,0.1257534314162518,0.40173837398963325,0.6245355630569817,0.0189792831627053,0.15,metric_x2,20260709016,-1,-1,regression_l1,1252,0.027701804347076954,64,8,60,0.7894590807070169,0.8241019596241735,0.49499836938554426,5.849869959516278,0.0002072724718636739
kpx_group_2,13,0.6364150045178443,0.1242530135847622,0.3970830226204507,0.6222828728318388,0.018542455620803255,0.03,metric_x2,20260709013,-1,-1,regression_l1,881,0.016089369825615013,48,6,60,0.7227243035594523,0.7988400762437513,2.8233109629953383,0.004124874467067548,2.8642067967012773e-05
kpx_group_2,10,0.6314787005420163,0.1274566759293242,0.39041407701335684,0.6174448802676411,0.01967314646650895,0.03,none,20260709010,-1,-1,regression_l1,1859,0.03386476997390963,24,-1,60,0.942632902378219,0.9730956134764648,0.010728189271560044,0.0012587100735707612,0.00011037781392889732
