variant,pinn_weight,tree_weight,tcn_family_weight,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,n_folds
pinn0.30_tree0.10_tcn0.60,0.30000000000000004,0.1,0.6,0.6279819456793275,0.13184295028934895,0.38780684164800405,0.6179787452831187,0.00976754922399469,3
pinn0.50_tree0.20_tcn0.30,0.5,0.2,0.3,0.6279645644658005,0.13091855024566,0.38684767917726104,0.6179474191551786,0.008972007728378533,3
pinn0.05_tree0.25_tcn0.70,0.05,0.25,0.7,0.6279359430261843,0.1308178355221952,0.3866897215745639,0.6167090074897187,0.009990108503988388,3
pinn0.50_tree0.25_tcn0.25,0.5,0.25,0.25,0.627928264603236,0.13043482978602813,0.3862913589925003,0.6176478694529159,0.008997265321678704,3
pinn0.00_tree0.30_tcn0.70,0.0,0.30000000000000004,0.7,0.6279267204655924,0.13050304379362843,0.3863564847248133,0.6163671958946352,0.010095297399121657,3
pinn0.50_tree0.40_tcn0.10,0.5,0.4,0.09999999999999998,0.6279083156416196,0.12962532041227098,0.3854419516955105,0.615847251033412,0.01049550531764424,3
pinn0.25_tree0.10_tcn0.65,0.25,0.1,0.65,0.6279067784487325,0.13207305485194035,0.3878866117494057,0.6180620444787732,0.009749268916746427,3
pinn0.15_tree0.80_tcn0.05,0.15000000000000002,0.8,0.04999999999999993,0.627885186109475,0.12696571455913044,0.3827360867780804,0.6107416257141478,0.015477242268796872,3
pinn0.10_tree0.20_tcn0.70,0.1,0.2,0.7,0.6278797906924348,0.13125114139533345,0.38701072278020315,0.6169597932732355,0.00978075523033584,3
pinn0.50_tree0.15_tcn0.35,0.5,0.15000000000000002,0.35,0.6278293108573062,0.1315121777872115,0.3871707995018239,0.6184864654458808,0.008377177064868685,3
pinn0.45_tree0.10_tcn0.45,0.45,0.1,0.45000000000000007,0.6278027533981078,0.13193590360086935,0.38754141039708473,0.6180162512109516,0.009137498610333908,3
pinn0.15_tree0.15_tcn0.70,0.15000000000000002,0.15000000000000002,0.7,0.6277781448615607,0.13178974827348539,0.3873460379966067,0.6174308698664257,0.009590294091225554,3
pinn0.35_tree0.65_tcn0.00,0.35000000000000003,0.65,0.0,0.6276949027773336,0.12799653469355524,0.3833863402482225,0.6120819828026313,0.013896787661726686,3
pinn0.20_tree0.75_tcn0.05,0.2,0.75,0.050000000000000044,0.6276532237204051,0.12699371828712352,0.38230016572793385,0.6112950614160896,0.014641985651933037,3
pinn0.30_tree0.70_tcn0.00,0.30000000000000004,0.7000000000000001,0.0,0.6276501882911816,0.1276678412342627,0.382968217816626,0.6113008600233618,0.014665164572192168,3
pinn0.40_tree0.60_tcn0.00,0.4,0.6000000000000001,0.0,0.6276337103304738,0.12843706230309562,0.3837044829640431,0.6129336244801831,0.013069185096307983,3
