variant,pred_year,group,score,nmae,ficr,n_rows,pinn_weight,tree_weight,tcn_family_weight
pinn0.70_tree0.00_tcn0.30,2024,kpx_group_1,0.6274231742501275,0.11692142065271377,0.3717677691529688,8778,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2024,kpx_group_2,0.6538477870275441,0.13241542865826747,0.4401110027133557,8778,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2024,kpx_group_3,0.6024680574364953,0.13463237548634205,0.33956849035933284,8778,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2024,fold_mean,0.6279130062380557,0.12798974159910778,0.3838157540752191,26334,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.05_tcn0.25,2022,kpx_group_1,0.6066926406467579,0.13225003853798253,0.3456353198314983,8664,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2022,kpx_group_2,0.6412404486513286,0.13887122169440116,0.4213521189970582,8664,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2022,fold_mean,0.6239665446490432,0.13556063011619185,0.38349371941427823,17328,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2023,kpx_group_1,0.61287315485004,0.13153851944360986,0.3572848291436898,8757,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2023,kpx_group_2,0.6539164571228021,0.14017723556357023,0.44801014980917436,8758,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2023,kpx_group_3,0.5798421121775205,0.15495655857981747,0.31464078293485837,8759,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2023,fold_mean,0.6155439080501209,0.14222410452899917,0.37331192062924085,26274,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2024,kpx_group_1,0.6264618547231611,0.11660436084847832,0.3695280702948004,8778,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2024,kpx_group_2,0.6541282651513324,0.13210961679937722,0.4403661471020419,8778,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2024,kpx_group_3,0.6028543791912522,0.1339267984489875,0.3396355568314918,8778,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.05_tcn0.25,2024,fold_mean,0.6278148330219152,0.12754692536561432,0.3831765914094447,26334,0.7000000000000001,0.05,0.24999999999999994
pinn0.70_tree0.10_tcn0.20,2022,kpx_group_1,0.6087280214846164,0.13170068782963112,0.34915673079886383,8664,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2022,kpx_group_2,0.6407693558324228,0.1378885670042723,0.41942727866911794,8664,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2022,fold_mean,0.6247486886585196,0.1347946274169517,0.3842920047339909,17328,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2023,kpx_group_1,0.6107458657400707,0.13121721795917674,0.35270894943931813,8757,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2023,kpx_group_2,0.6551506654497037,0.13913599311102606,0.4494373240104334,8758,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2023,kpx_group_3,0.5808576812449255,0.15447013701133763,0.31618549950118857,8759,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2023,fold_mean,0.6155847374782334,0.1416077826938468,0.3727772576503134,26274,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2024,kpx_group_1,0.6260995293264632,0.11641133895979236,0.36861039761271874,8778,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2024,kpx_group_2,0.6547047395065859,0.1319138690921642,0.441323348105336,8778,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2024,kpx_group_3,0.6034430399670659,0.13336964711881977,0.34025572705295154,8778,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.10_tcn0.20,2024,fold_mean,0.628082436266705,0.1272316183902588,0.38339649092366873,26334,0.7000000000000001,0.1,0.19999999999999993
pinn0.70_tree0.15_tcn0.15,2022,kpx_group_1,0.611803854223109,0.13122715051909575,0.35483485896531364,8664,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2022,kpx_group_2,0.6413616128566589,0.13698807856573364,0.4197113042790514,8664,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2022,fold_mean,0.6265827335398839,0.1341076145424147,0.38727308162218255,17328,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2023,kpx_group_1,0.608904632920765,0.13100581715170317,0.34881508299323327,8757,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2023,kpx_group_2,0.655433380193652,0.13821115070567808,0.44907791109298223,8758,0.7000000000000001,0.15000000000000002,0.1499999999999999
