fold,fold_type,val_start,val_end,feature_block,group,score,nmae,ficr,n
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead_all_meteo,mean,0.6091766928154649,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_1,0.6234621120295074,0.11999875158296383,0.36692297564197873,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_2,0.6190758696833787,0.12335486348519248,0.3615066028519497,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_3,0.5812698891776807,0.14088827774562096,0.30342805610098245,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,mean,0.6079359569635222,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,thermo,kpx_group_1,0.6369553449480677,0.11529371062167043,0.3892044005178059,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,thermo,kpx_group_2,0.6157701291133373,0.1225282385292821,0.3540684967559567,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,thermo,kpx_group_3,0.5898549660202035,0.14043873370623586,0.32014866574664286,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,thermo,mean,0.6141934800272029,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,radiation_cloud,kpx_group_1,0.6250549025971104,0.1167179366157892,0.36682774181000993,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,radiation_cloud,kpx_group_2,0.6201752335367317,0.12188346705594637,0.3622339341294095,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,radiation_cloud,kpx_group_3,0.581998481684003,0.1418568574335717,0.30585382080157775,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,radiation_cloud,mean,0.6090762059392817,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,kpx_group_1,0.6449798963354465,0.1168062230037089,0.40676601567460197,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,kpx_group_2,0.6237502626704037,0.12036299861085346,0.3678635239516609,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,kpx_group_3,0.591993507477052,0.14247042844788171,0.3264574434019858,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,mean,0.6202412221609674,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead_all_meteo,kpx_group_1,0.6449798963354465,0.1168062230037089,0.40676601567460197,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead_all_meteo,kpx_group_2,0.6237502626704037,0.12036299861085346,0.3678635239516609,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead_all_meteo,kpx_group_3,0.591993507477052,0.14247042844788171,0.3264574434019858,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead_all_meteo,mean,0.6202412221609674,,,
