experiment,group,tree_candidate,base_weight,score,nmae,ficr
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.2,0.6280831249384847,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.6000000000000001,0.6280602407208223,,
global_blend_own_tree_raw,mean,own_tree_raw,0.8,0.6280290453973548,,
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.5,0.6279847121644895,0.1192534803412052,0.37522290467018404
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.5,0.6279847121644895,0.1192534803412052,0.37522290467018404
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.6000000000000001,0.6279599952282321,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.65,0.6279487154621322,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.6000000000000001,0.6279470365195897,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.65,0.6279331581015221,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,0.75,0.6278338639795092,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.65,0.6277961804985158,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,0.7000000000000001,0.6277185479106168,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.30000000000000004,0.6276509735788023,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.55,0.627603056990239,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.55,0.6275070426062174,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.55,0.6274723132521905,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.15000000000000002,0.6274468623474375,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.6000000000000001,0.6274440614336149,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.6000000000000001,0.6274242418102084,,
global_blend_own_tree_calibrated,mean,own_tree_calibrated,0.75,0.6273948215273929,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.5,0.6273463503187997,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.5,0.6272059237378549,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.5,0.6271375126442825,,
global_blend_own_tree_calibrated,mean,own_tree_calibrated,0.7000000000000001,0.6270453919630345,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.1,0.6269873920593986,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.45,0.6269487848336028,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,0.65,0.6268638402505026,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.55,0.626834741837572,,
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.45,0.6267920157088991,0.11969963554822792,0.37328366696602605
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.45,0.6267920157088991,0.11969963554822792,0.37328366696602605
global_blend_own_tree_raw,mean,own_tree_raw,0.75,0.6265887092900954,,
global_blend_own_tree_raw,kpx_group_1,own_tree_raw,0.65,0.6265371819595981,0.11816343516767891,0.3712377990868751
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_raw,0.65,0.6265371819595981,0.11816343516767891,0.3712377990868751
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.55,0.6265292720285247,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,0.6000000000000001,0.6264386831469173,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.4,0.6264317498185352,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.45,0.626411502939838,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.4,0.6263776672204618,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.25,0.6263685651235115,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.45,0.6263351888503088,,
