fold,fold_type,val_start,val_end,spatial_mode,group,score,nmae,ficr,n
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,gfs,kpx_group_1,0.5945083217204945,0.12898583784854442,0.3180024812895335,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,gfs,kpx_group_2,0.6607384789944063,0.11315532075386549,0.43463227874267807,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,gfs,kpx_group_3,0.5440122140782703,0.1467750568742295,0.23479948503077,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,gfs,mean,0.599753004931057,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all,kpx_group_1,0.5972548998506871,0.1295501478374811,0.32405994753885536,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all,kpx_group_2,0.6666112283833464,0.11309017947017572,0.4463126362368686,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all,kpx_group_3,0.5595566993054278,0.14299182421370335,0.26210522282455906,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all,mean,0.6078076091798205,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_1,0.6449798963354465,0.1168062230037089,0.40676601567460197,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_2,0.6237502626704037,0.12036299861085346,0.3678635239516609,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_3,0.591993507477052,0.14247042844788171,0.3264574434019858,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,none,mean,0.6202412221609674,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,nearest,kpx_group_1,0.6373615724575934,0.117476714377811,0.3921998592929979,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,nearest,kpx_group_2,0.6237132860055697,0.12060301217732415,0.3680295841884636,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,nearest,kpx_group_3,0.5817663822069574,0.1382012267391311,0.3017339911530459,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,nearest,mean,0.6142804135567068,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,weighted,kpx_group_1,0.6341034043716351,0.11570946519173324,0.38391627393500355,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,weighted,kpx_group_2,0.6101313931228195,0.12308480254824693,0.3433475887938859,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,weighted,kpx_group_3,0.591914608945874,0.14053461975068188,0.3243638376424297,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,weighted,mean,0.6120498021467762,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,upwind,kpx_group_1,0.6363247228490451,0.11443754379636786,0.38708698949445797,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,upwind,kpx_group_2,0.6274382698502929,0.12032380876139828,0.3752003484619842,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,upwind,kpx_group_3,0.5891451412795718,0.13711002417814422,0.31540030673728786,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,upwind,mean,0.6176360446596366,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_1,0.6270172331919088,0.11458750842087136,0.36862197480468906,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_2,0.6252382297745339,0.12006133058821303,0.37053779013728083,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_3,0.5929438962629952,0.13946161675819335,0.3253494092841836,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,ldaps,mean,0.6150664530764793,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_1,0.6319345094978663,0.1180510904720069,0.38192010946773963,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_2,0.6278762497232693,0.11948034329482883,0.3752328427413675,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_3,0.5892185683674922,0.14327614147636977,0.3217132782113543,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,gfs,mean,0.6163431091962093,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all,kpx_group_1,0.638323134809414,0.11710312454369533,0.3937493941625233,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all,kpx_group_2,0.6385692010190492,0.11826896702437856,0.39540736906247714,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all,kpx_group_3,0.5917523248958826,0.13786808249837454,0.3213727322901398,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all,mean,0.622881553574782,,,
