fold,fold_type,val_start,val_end,feature_block,group,score,nmae,ficr,n
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead_ldaps_gfs,kpx_group_3,0.529268807267947,0.15211128744827482,0.2106489019841689,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead_ldaps_gfs,mean,0.5999305937938076,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_1,0.6234621120295074,0.11999875158296383,0.36692297564197873,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_2,0.6190758696833787,0.12335486348519248,0.3615066028519497,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,kpx_group_3,0.5812698891776807,0.14088827774562096,0.30342805610098245,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,mean,0.6079359569635222,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead,kpx_group_1,0.6276775028845362,0.11911459479277253,0.3744696005618449,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead,kpx_group_2,0.6226290874690283,0.12206813260284645,0.3673263075409032,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead,kpx_group_3,0.5832188025945496,0.14033132946809693,0.30676893465719607,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead,mean,0.6111751309827046,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_1,0.6263561593660816,0.1194870994966596,0.37219941822882263,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_2,0.6222808377905553,0.12212613362781627,0.366687809208927,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_3,0.5933373667948353,0.13634341423385096,0.32301814782352156,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,ldaps,mean,0.6139914546504907,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_1,0.6335576000024833,0.11763150482686496,0.3847467048318316,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_2,0.6210012141219472,0.1221081767227039,0.36411060496659825,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_3,0.5785450872712756,0.14029471845367897,0.2973848929962303,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,gfs,mean,0.6110346337985687,,,
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead_ldaps_gfs,kpx_group_1,0.6285236494276889,0.1184178483031991,0.3754651471585769,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead_ldaps_gfs,kpx_group_2,0.6310411299666303,0.12109003471466584,0.3831722946479265,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead_ldaps_gfs,kpx_group_3,0.5824611986082433,0.13687226587503196,0.3017946630915186,2208.0
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,lead_ldaps_gfs,mean,0.6140086593341875,,,
