candidate,pinn_weight,score,nmae,ficr
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.8500000000000001,0.5933435151855498,0.1468397836125392,0.333526813983639
blend:pinn_unison+tree_group2_transfer_group3_features,0.35000000000000003,0.5932892969186362,0.13821172207023275,0.3247903159075051
blend:pinn_unison+tree_group2_proxy_same_time,0.9,0.5929971621279793,0.14385360805889488,0.32984793231485354
blend:pinn_unison+tree_group2_transfer_group3_features,0.9,0.5926394196783796,0.14382889894633422,0.32910773830309353
blend:pinn_unison+tree_group2_proxy_same_time,0.35000000000000003,0.592309342198003,0.13882509597303128,0.3234437803690373
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.35000000000000003,0.5918803313644337,0.15337106789721605,0.3371317306260835
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.30000000000000004,0.5918205830363054,0.15463356036333614,0.33827472643594686
blend:pinn_unison+tree_group2_proxy_same_time,0.30000000000000004,0.591075264287687,0.1393135420339579,0.32146407060933185
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.9,0.5906392475203895,0.14677965645519173,0.3280581514959708
blend:pinn_unison+tree_group2_proxy_same_time,0.9500000000000001,0.5906255099860532,0.14533514333820088,0.32658616331030726
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.25,0.5906024751635849,0.15600152297977163,0.33720647330694137
blend:pinn_unison+tree_group2_transfer_group3_features,0.9500000000000001,0.5905715886182238,0.1453263220971563,0.326469499333604
blend:pinn_unison+tree_group2_transfer_group3_features,0.30000000000000004,0.5903508106441452,0.13863045413894756,0.319332075427238
blend:pinn_unison+tree_group2_transfer_group3_features,0.25,0.5896861255824413,0.13918711990695534,0.3185593710718378
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.9500000000000001,0.5891401965012392,0.14682662662187848,0.32510701962435684
blend:pinn_unison+tree_group2_proxy_same_time,0.25,0.5888697323314068,0.13993831569221715,0.31767778035503075
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.2,0.5886388806107197,0.15748195751106206,0.3347597187325015
blend:pinn_unison+tree_own_calibrated,1.0,0.5886375056179982,0.14700501642671815,0.32428002766271447
blend:pinn_unison+tree_group2_transfer_group3_features,1.0,0.5886375056179982,0.14700501642671815,0.32428002766271447
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,1.0,0.5886375056179982,0.14700501642671815,0.32428002766271447
pinn_unison,,0.5886375056179982,0.14700501642671815,0.32428002766271447
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,1.0,0.5886375056179982,0.14700501642671815,0.32428002766271447
blend:pinn_unison+tree_group2_proxy_same_time,1.0,0.5886375056179982,0.14700501642671815,0.32428002766271447
blend:pinn_unison+tree_own_raw,1.0,0.5886375056179982,0.14700501642671815,0.32428002766271447
blend:pinn_unison+tree_own_calibrated,0.9,0.5883090720466694,0.14336989393746497,0.3199880380308037
blend:pinn_unison+tree_own_raw,0.9,0.5882744001444747,0.14323243142547265,0.31978123171442224
blend:pinn_unison+tree_group2_proxy_same_time,0.2,0.5878462994870036,0.14072629934576916,0.3164188983197765
blend:pinn_unison+tree_own_raw,0.8,0.5878081112527715,0.14041519591595175,0.3160314184214948
blend:pinn_unison+tree_own_calibrated,0.8,0.5877040425896873,0.14065872130325877,0.3160668064826334
blend:pinn_unison+tree_own_raw,0.9500000000000001,0.5876828493879478,0.14501541901641402,0.3203811177923096
blend:pinn_unison+tree_own_calibrated,0.9500000000000001,0.5876344125523858,0.14508522664610435,0.320354051750876
blend:pinn_unison+tree_own_raw,0.8500000000000001,0.5875001797904225,0.1416983767047937,0.3166987362856387
blend:pinn_unison+tree_own_calibrated,0.8500000000000001,0.5874662557389829,0.1418817999056513,0.31681431138361715
blend:pinn_unison+tree_own_raw,0.75,0.5873565719214866,0.1393251095436543,0.3140382533866274
blend:pinn_unison+tree_group2_transfer_group3_features,0.2,0.5871704397900451,0.13988170281960535,0.31422258239969564
blend:pinn_unison+tree_own_raw,0.6000000000000001,0.5869666382721488,0.13727455335103864,0.31120782989533635
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.15000000000000002,0.5868239582341326,0.15905244983983444,0.3327003663080997
blend:pinn_unison+tree_own_calibrated,0.75,0.5865924420217938,0.13964029738708025,0.3128251814306679
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.9500000000000001,0.586251896190183,0.14587436058685752,0.3183781529672235
